Date,Close,Volume,Daily_Return_Pct,Year,Month,DayOfWeek,Quarter
2021-10-05 00:00:00,260.2,55297800.0,-0.12,2021,10,1,4
2021-10-06 00:00:00,260.92,43898400.0,0.277,2021,10,2,4
2021-10-07 00:00:00,264.54,57587400.0,1.387,2021,10,3,4
2021-10-08 00:00:00,261.83,50215800.0,-1.023,2021,10,4,4
2021-10-11 00:00:00,263.98,42600900.0,0.821,2021,10,0,4
2021-10-12 00:00:00,268.57,66060000.0,1.74,2021,10,1,4
2021-10-13 00:00:00,270.36,42360300.0,0.665,2021,10,2,4
2021-10-14 00:00:00,272.77,36741600.0,0.893,2021,10,3,4
2021-10-15 00:00:00,281.01,56773800.0,3.02,2021,10,4,4
2021-10-18 00:00:00,290.04,72621600.0,3.212,2021,10,0,4
2021-10-19 00:00:00,288.09,52143300.0,-0.671,2021,10,1,4
2021-10-20 00:00:00,288.6,42096300.0,0.177,2021,10,2,4
2021-10-21 00:00:00,298.0,94444500.0,3.257,2021,10,3,4
2021-10-22 00:00:00,303.23,68642400.0,1.754,2021,10,4,4
2021-10-25 00:00:00,341.62,188556300.0,12.662,2021,10,0,4
2021-10-26 00:00:00,339.48,187245000.0,-0.627,2021,10,1,4
2021-10-27 00:00:00,345.95,115579500.0,1.908,2021,10,2,4
2021-10-28 00:00:00,359.01,81639600.0,3.775,2021,10,3,4
2021-10-29 00:00:00,371.33,89755200.0,3.432,2021,10,4,4
2021-11-01 00:00:00,402.86,168146100.0,8.491,2021,11,0,4
2021-11-02 00:00:00,390.67,128213400.0,-3.027,2021,11,1,4
2021-11-03 00:00:00,404.62,103885500.0,3.572,2021,11,2,4
2021-11-04 00:00:00,409.97,76192200.0,1.322,2021,11,3,4
2021-11-05 00:00:00,407.36,64886400.0,-0.636,2021,11,4,4
2021-11-08 00:00:00,387.65,100337100.0,-4.84,2021,11,0,4
2021-11-09 00:00:00,341.17,177317400.0,-11.99,2021,11,1,4
2021-11-10 00:00:00,355.98,128408100.0,4.343,2021,11,2,4
2021-11-11 00:00:00,354.5,67189800.0,-0.416,2021,11,3,4
2021-11-12 00:00:00,344.47,76719300.0,-2.829,2021,11,4,4
2021-11-15 00:00:00,337.8,104326800.0,-1.938,2021,11,0,4
2021-11-16 00:00:00,351.58,79627200.0,4.079,2021,11,1,4
2021-11-17 00:00:00,363.0,94336200.0,3.25,2021,11,2,4
2021-11-18 00:00:00,365.46,62696700.0,0.677,2021,11,3,4
2021-11-19 00:00:00,379.02,64926900.0,3.71,2021,11,4,4
2021-11-22 00:00:00,385.62,99217500.0,1.742,2021,11,0,4
2021-11-23 00:00:00,369.68,108515100.0,-4.135,2021,11,1,4
2021-11-24 00:00:00,372.0,67680600.0,0.628,2021,11,2,4
2021-11-26 00:00:00,360.64,35042700.0,-3.054,2021,11,4,4
2021-11-29 00:00:00,379.0,58393500.0,5.09,2021,11,0,4
2021-11-30 00:00:00,381.59,81276000.0,0.683,2021,11,1,4
2021-12-01 00:00:00,365.0,68450400.0,-4.347,2021,12,2,4
2021-12-02 00:00:00,361.53,73114800.0,-0.95,2021,12,3,4
2021-12-03 00:00:00,338.32,92322000.0,-6.42,2021,12,4,4
2021-12-06 00:00:00,336.34,81663000.0,-0.587,2021,12,0,4
2021-12-07 00:00:00,350.58,56084700.0,4.236,2021,12,1,4
2021-12-08 00:00:00,356.32,41906400.0,1.636,2021,12,2,4
2021-12-09 00:00:00,334.6,59438400.0,-6.096,2021,12,3,4
2021-12-10 00:00:00,339.01,59664300.0,1.318,2021,12,4,4
2021-12-13 00:00:00,322.14,78595500.0,-4.977,2021,12,0,4
2021-12-14 00:00:00,319.5,70806300.0,-0.817,2021,12,1,4
2021-12-15 00:00:00,325.33,75169200.0,1.824,2021,12,2,4
2021-12-16 00:00:00,308.97,82771500.0,-5.028,2021,12,3,4
2021-12-17 00:00:00,310.86,100437300.0,0.61,2021,12,4,4
2021-12-20 00:00:00,299.98,56480100.0,-3.499,2021,12,0,4
2021-12-21 00:00:00,312.84,71517900.0,4.288,2021,12,1,4
2021-12-22 00:00:00,336.29,93634200.0,7.495,2021,12,2,4
2021-12-23 00:00:00,355.67,92713200.0,5.762,2021,12,3,4
2021-12-27 00:00:00,364.65,71145900.0,2.525,2021,12,0,4
2021-12-28 00:00:00,362.82,60324000.0,-0.5,2021,12,1,4
2021-12-29 00:00:00,362.06,56154000.0,-0.209,2021,12,2,4
2021-12-30 00:00:00,356.78,47040900.0,-1.459,2021,12,3,4
2021-12-31 00:00:00,352.26,40733700.0,-1.267,2021,12,4,4
2022-01-03 00:00:00,399.93,103931400.0,13.532,2022,1,0,1
2022-01-04 00:00:00,383.2,100248300.0,-4.183,2022,1,1,1
2022-01-05 00:00:00,362.71,80119800.0,-5.347,2022,1,2,1
2022-01-06 00:00:00,354.9,90336600.0,-2.152,2022,1,3,1
2022-01-07 00:00:00,342.32,84164700.0,-3.545,2022,1,4,1
2022-01-10 00:00:00,352.71,91815000.0,3.034,2022,1,0,1
2022-01-11 00:00:00,354.8,66063300.0,0.594,2022,1,1,1
2022-01-12 00:00:00,368.74,83739000.0,3.929,2022,1,2,1
2022-01-13 00:00:00,343.85,97209900.0,-6.749,2022,1,3,1
2022-01-14 00:00:00,349.87,72924300.0,1.75,2022,1,4,1
2022-01-18 00:00:00,343.5,66743400.0,-1.82,2022,1,1,1
2022-01-19 00:00:00,331.88,75442500.0,-3.383,2022,1,2,1
2022-01-20 00:00:00,332.09,70488600.0,0.062,2022,1,3,1
2022-01-21 00:00:00,314.63,103416000.0,-5.257,2022,1,4,1
2022-01-24 00:00:00,310.0,151565700.0,-1.473,2022,1,0,1
2022-01-25 00:00:00,306.13,86595900.0,-1.247,2022,1,1,1
2022-01-26 00:00:00,312.47,104867400.0,2.07,2022,1,2,1
2022-01-27 00:00:00,276.37,147109500.0,-11.554,2022,1,3,1
2022-01-28 00:00:00,282.12,134789100.0,2.081,2022,1,4,1
2022-01-31 00:00:00,312.24,104436000.0,10.678,2022,1,0,1
2022-02-01 00:00:00,310.42,73138200.0,-0.584,2022,2,1,1
2022-02-02 00:00:00,301.89,66792900.0,-2.748,2022,2,2,1
2022-02-03 00:00:00,297.05,78855600.0,-1.603,2022,2,3,1
2022-02-04 00:00:00,307.77,73625400.0,3.611,2022,2,4,1
2022-02-07 00:00:00,302.45,60994500.0,-1.731,2022,2,0,1
2022-02-08 00:00:00,307.33,50729100.0,1.616,2022,2,1,1
2022-02-09 00:00:00,310.67,52259400.0,1.085,2022,2,2,1
2022-02-10 00:00:00,301.52,66126900.0,-2.945,2022,2,3,1
2022-02-11 00:00:00,286.67,79645800.0,-4.925,2022,2,4,1
2022-02-14 00:00:00,291.92,67756500.0,1.833,2022,2,0,1
2022-02-15 00:00:00,307.48,57286200.0,5.329,2022,2,1,1
2022-02-16 00:00:00,307.8,51294300.0,0.104,2022,2,2,1
2022-02-17 00:00:00,292.12,55178400.0,-5.094,2022,2,3,1
2022-02-18 00:00:00,285.66,68501700.0,-2.21,2022,2,4,1
2022-02-22 00:00:00,273.84,83288100.0,-4.137,2022,2,1,1
2022-02-23 00:00:00,254.68,95256900.0,-6.998,2022,2,2,1
2022-02-24 00:00:00,266.92,135322200.0,4.807,2022,2,3,1
2022-02-25 00:00:00,269.96,76067700.0,1.136,2022,2,4,1
2022-02-28 00:00:00,290.14,99006900.0,7.478,2022,2,0,1
2022-03-01 00:00:00,288.12,74766900.0,-0.696,2022,3,1,1
2022-03-02 00:00:00,293.3,74643300.0,1.796,2022,3,2,1
2022-03-03 00:00:00,279.76,61623600.0,-4.614,2022,3,3,1
2022-03-04 00:00:00,279.43,66999600.0,-0.119,2022,3,4,1
2022-03-07 00:00:00,268.19,72494100.0,-4.021,2022,3,0,1
2022-03-08 00:00:00,274.8,80399100.0,2.463,2022,3,1,1
2022-03-09 00:00:00,286.32,59184000.0,4.193,2022,3,2,1
2022-03-10 00:00:00,279.43,58648500.0,-2.406,2022,3,3,1
2022-03-11 00:00:00,265.12,67037100.0,-5.123,2022,3,4,1
2022-03-14 00:00:00,255.46,71152200.0,-3.644,2022,3,0,1
2022-03-15 00:00:00,267.3,66841200.0,4.635,2022,3,1,1
